song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_cq_mean,chroma_cens_mean,melspectrogram_mean,mfcc_mean,mfcc_delta_mean,rms_mean,cent_mean,spec_bw_mean,contrast_mean,rolloff_mean,poly_mean,tonnetz_mean,zcr_mean,harm_mean,perc_mean,frame_mean,VA
562494.mp3,161.4990234,51885,640.5555556,0.348917693,0.424919635,0.251229645,13.77567005,4.800347328,-0.002894797,0.233496502,2415.942649,2423.342067,20.52500019,4890.012097,3.058208846,-0.003820208,0.112572638,1.04e-05,0.000419086,4.769378685,angry
987224.mp3,151.9990809,49344,640.8311688,0.401838571,0.46119827,0.260123538,14.65259933,6.608258724,0.014647593,0.264836162,2549.376999,2368.251475,19.67481963,5073.927652,4.151604796,0.025997846,0.130857863,-0.000501877,-0.003257145,5.167600907,angry
1277765.mp3,71.77734375,21163,604.6571429,0.327533662,0.323380381,0.207918644,1.794089437,-2.347361565,-0.001612114,0.082393743,1675.851541,2018.541815,23.16668782,3458.329088,1.007851011,-0.042962216,0.072504097,-0.002992897,-0.001843364,3.300716553,sad
1161118.mp3,129.1992188,40617,644.7142857,0.54110682,0.559852898,0.270734835,0.561975777,-1.557587981,0.012413959,0.050734464,2895.694879,2673.537699,18.97306208,5955.330656,0.747228861,0.004453997,0.136684737,-0.000299214,-0.001147159,2.294131519,angry
831183.mp3,129.1992188,39804,631.8095238,0.286857605,0.31289351,0.199494005,1.931715965,-5.019533157,0.006783292,0.083755761,1520.7634,1958.845478,24.098304,3014.515105,0.917594053,0.108700293,0.058417636,1.22e-07,-5.98e-06,4.281759637,angry
2262272.mp3,117.4538352,35950,630.7017544,0.349390149,0.402653754,0.231650769,14.14514542,5.570741177,0.011018986,0.238063946,1817.458379,2360.056707,21.66347573,4086.183625,2.556273401,0.009238388,0.0570571,7.49e-06,0.000152861,4.287564626,sad
1124310.mp3,172.265625,53412,635.8571429,0.436883986,0.523810208,0.274848948,6.502021313,4.12798214,0.013841962,0.173102409,2424.17049,2486.708629,19.01385049,5122.035694,2.726066235,0.025033057,0.116441473,7.19e-06,-1.7e-05,6.139356009,angry
772257.mp3,78.30255682,23185,610.1315789,0.37722227,0.405028492,0.240310644,8.437534332,4.116416931,0.00879255,0.180280685,2042.905789,2479.538635,21.92059304,4511.964383,1.986158972,-0.026520024,0.075843457,-2.18e-06,-1.81e-05,4.39785941,angry
885679.mp3,143.5546875,44884,641.2,0.451836258,0.532464504,0.26258204,15.79830647,6.898671627,0.012550324,0.267257243,2789.633992,2840.21686,19.19053478,6273.553731,3.574652815,-0.001998935,0.113841715,1.73e-05,-5.63e-06,1.943510204,happy
930333.mp3,92.28515625,28472,632.7111111,0.473800629,0.591119289,0.278386605,21.70833206,8.765368462,0.014121304,0.324875742,3014.965447,2638.886309,18.85464591,6077.188252,4.812268064,-0.002698569,0.150060317,1.16e-05,0.000193662,14.51131066,angry
624653.mp3,135.9991776,35889,588.3442623,0.41259858,0.497561246,0.262149654,16.62254143,5.827856541,0.004738566,0.270323068,2469.980794,2618.104238,19.33122807,5532.37488,3.887381022,0.016188957,0.117093396,-6.49e-06,0.000231136,6.296090703,sad
2176861.mp3,198.7680288,61416,633.1546392,0.386012793,0.540671945,0.263955138,18.41501999,5.598888397,0.014898283,0.27750805,2209.825674,2242.394505,21.0055398,4524.072644,3.44153951,-0.005708018,0.098268869,9.06e-07,-0.000331393,3.404045351,calm
1123737.mp3,103.359375,32891,632.5192308,0.40507105,0.455362767,0.262485487,26.253685,8.024095535,0.008706186,0.341196477,2091.403317,2301.979527,20.34372582,4457.231381,4.631008302,-0.018847572,0.089870205,0.000837537,0.003182516,3.344834467,angry
611762.mp3,161.4990234,50481,631.0125,0.30610922,0.32243824,0.215597505,2.48254776,-3.803453445,-0.005621601,0.091408879,1569.497339,1921.679747,23.27473011,3232.172122,0.994014235,0.073422101,0.066143213,-6.06e-07,-8.86e-06,2.002721088,sad
2267150.mp3,107.6660156,33659,635.0754717,0.296133041,0.363025784,0.237345713,3.958286047,-5.346344471,0.003363355,0.122358367,1741.044233,2136.322496,21.42794216,3818.976907,1.259360486,0.048582619,0.062362435,-6.83e-06,-1.83e-06,2.48337415,calm
577770.mp3,143.5546875,41753,614.0147059,0.364187449,0.426941991,0.25054475,13.58368015,5.813399792,0.013658073,0.243900597,1899.770898,2255.361962,21.2348852,3936.40953,3.239044461,-0.002433961,0.078059241,2.49e-06,-0.000225874,13.06470748,sad
1015810.mp3,103.359375,32293,633.1960784,0.356117457,0.455444217,0.253158374,5.134831429,1.381369233,0.004036183,0.148061693,2311.945361,2607.961454,21.26254649,5167.785418,1.871068009,-0.021435848,0.093109036,-2.21e-06,-4.63e-05,4.744997732,happy
1056919.mp3,103.359375,31430,628.6,0.434657961,0.558128834,0.276019392,7.497087479,4.02130127,0.003327075,0.185550943,2973.351415,2773.714412,19.82081495,6295.936929,2.590087102,-0.009798535,0.143956424,-1.54e-06,-1.94e-05,1.92493424,happy
